Date,Open,High,Low,Close
2015-09-14,1.1342,1.1372,1.1284,1.1317
2015-09-13,1.1332,1.1359,1.1327,1.1343
2015-09-11,1.1278,1.1349,1.1253,1.134
2015-09-10,1.1205,1.1299,1.117,1.128
2015-09-09,1.1199,1.1219,1.113,1.1207
2015-09-08,1.1169,1.1228,1.1151,1.12
2015-09-07,1.1157,1.1178,1.112,1.1167
2015-09-06,1.1165,1.1165,1.1143,1.1155
2015-09-04,1.1123,1.1181,1.1088,1.1147
2015-09-03,1.1224,1.1245,1.1086,1.1123
2015-09-02,1.1311,1.132,1.1214,1.1226
2015-09-01,1.1209,1.1333,1.1204,1.1319
2015-08-31,1.1173,1.1264,1.1159,1.1215
2015-08-30,1.1174,1.1215,1.1171,1.1212
2015-08-28,1.1246,1.1309,1.1155,1.1179
2015-08-27,1.1312,1.1366,1.1202,1.1245
2015-08-26,1.1515,1.1562,1.1289,1.1316
2015-08-25,1.1616,1.1625,1.1396,1.1517
2015-08-24,1.1361,1.1713,1.1361,1.162
2015-08-23,1.1378,1.1395,1.137,1.1377
2015-08-21,1.1242,1.1394,1.1226,1.1389
2015-08-20,1.1117,1.1245,1.1105,1.1241
2015-08-19,1.102,1.1137,1.1017,1.1119
2015-08-18,1.108,1.1096,1.1015,1.1021
2015-08-17,1.1105,1.1125,1.1057,1.1081
2015-08-14,1.1148,1.1188,1.1096,1.1106
2015-08-13,1.1156,1.1189,1.1079,1.1149
2015-08-12,1.1039,1.1213,1.1023,1.1157
2015-08-11,1.1019,1.1088,1.0959,1.104
2015-08-10,1.0966,1.1044,1.0924,1.1019
2015-08-07,1.0927,1.0981,1.0854,1.0969
2015-08-06,1.0907,1.0944,1.0874,1.0925
2015-08-05,1.0881,1.0938,1.0847,1.0906
2015-08-04,1.095,1.099,1.0876,1.0881
2015-08-03,1.0968,1.0997,1.094,1.0951
2015-07-31,1.0933,1.1114,1.092,1.0988
2015-07-30,1.0985,1.0992,1.0892,1.0933
2015-07-29,1.1059,1.1086,1.0965,1.0986
2015-07-28,1.1087,1.11,1.102,1.1059
2015-07-27,1.0971,1.1131,1.0967,1.1094
2015-07-24,1.0981,1.0997,1.0924,1.0984
2015-07-23,1.0927,1.1019,1.092,1.0982
2015-07-22,1.0935,1.0966,1.0869,1.0934
2015-07-21,1.0824,1.097,1.081,1.0937
2015-07-20,1.0831,1.0872,1.0808,1.0827
2015-07-17,1.0873,1.0908,1.0826,1.083
2015-07-16,1.0946,1.0963,1.0854,1.0876
2015-07-15,1.1009,1.1036,1.0928,1.0949
2015-07-14,1.1001,1.1083,1.0964,1.1012
2015-07-13,1.1105,1.1198,1.0994,1.1003
2015-07-10,1.1035,1.1218,1.1029,1.1164
2015-07-09,1.1075,1.1125,1.0989,1.1038
2015-07-08,1.101,1.1094,1.0972,1.1077
2015-07-07,1.1054,1.1061,1.0915,1.1013
2015-07-06,1.0991,1.1097,1.0967,1.1057
2015-07-03,1.1084,1.1119,1.1064,1.1114
2015-07-02,1.1052,1.1123,1.103,1.1084
2015-07-01,1.1138,1.1173,1.1041,1.1054
